ResNet,CNN,ProtoNet,Proposed
0.04115,0.043,0.0434,0.040653672
0.0443,0.0432,0.0428,0.041303519
0.0467,0.0474,0.041,0.045145262
0.0538,0.0537,0.046,0.052274468
0.0791,0.0701,0.0638,0.068253062
0.1363,0.1073,0.0949,0.091265296
0.183,0.1492,0.1285,0.154816522
0.2389,0.206,0.1603,0.254816528
0.3224,0.309,0.2047,0.32198014
0.4232,0.4136,0.2784,0.420967147
0.5365,0.489,0.3432,0.537098653
0.6343,0.5457,0.3775,0.660015323
0.7568,0.5962,0.3997,0.784403712
0.8525,0.6254,0.4123,0.880504635
0.9161,0.6274,0.4106,0.929300513
0.9369,0.623,0.4173,0.941456473
0.9481,0.6041,0.4181,0.948337204
0.9498,0.594,0.4184,0.948337204
0.9502,0.5923,0.4206,0.949675125
0.9542,0.5856,0.4237,0.951376194
0.955,0.5908,0.4224,0.952006927
